wine,model,mae,mae_rounded,acc_0.5,acc_1.0,kappa_w,macro_f1
red,mean,0.683693315089914,0.65625,0.4,0.825,0.0,0.3013698630136986
red,linear,0.4907787551022693,0.4125,0.621875,0.875,0.5411545623836127,0.5076725787677313
red,svr,0.47339315458458514,0.4125,0.609375,0.9,0.5810616929698709,0.4698067632850242
red,mlp,0.4721389131430856,0.36875,0.65,0.88125,0.6182085168869309,0.5355258650222678
red,rbf,0.49733373882302284,0.396875,0.628125,0.875,0.5890066463086043,0.5468139744193151
red,rf,0.48453124999999997,0.4125,0.603125,0.890625,0.5951820967856888,0.5484249084249084
white,mean,0.6733722539233575,0.6332992849846782,0.4484167517875383,0.745658835546476,0.0,0.28476692022625316
white,linear,0.5732942758466045,0.533197139938713,0.5199182839632278,0.8631256384065373,0.444823294017783,0.45646908599411806
white,svr,0.5336383269809092,0.4943820224719101,0.5444330949948928,0.856996935648621,0.5424901251040332,0.5161420721483473
white,mlp,0.5723239285416214,0.5372829417773238,0.5188968335035751,0.8416751787538305,0.47419678815027655,0.49468750855892846
white,rbf,0.5518989476676162,0.5045965270684372,0.5423901940755873,0.8651685393258427,0.4998340021983957,0.47607533411719144
white,rf,0.5317441266598572,0.47497446373850866,0.5669050051072523,0.8682328907048008,0.5539414230154436,0.49020010964912286
